# index|slug|diagram|mechanism (3 stages)|symptom > observation (3)|UP|DOWN|drugs|target > treatment (3)|key distinction|skills|related|reference
10|vertebral-fracture|compression|脆い椎体に荷重~椎体がつぶれる~体動痛・姿勢変化|背腰部痛>体動・安静での違い~動作制限>起居・歩行能力~神経症状>下肢感覚・筋力・排泄|特有の血液検査なし|特有の血液検査なし|鎮痛薬;骨粗鬆症治療薬（適応例）|骨折部>装具・安定性に応じた管理~痛み・機能>鎮痛と安全な離床~再骨折>骨粗鬆症・転倒要因を治療|麻痺や排尿障害は神経圧迫を評価する。安静期間・装具は骨折の状態で異なる。|bed-bath|osteomalacia,disuse|vertebral
11|rhabdomyolysis|rupture|骨格筋が壊れる~ミオグロビン・Kが血中へ~腎障害・不整脈|筋痛・脱力>腫脹・原因となる運動や薬~濃い尿>尿量・尿検査~動悸>心電図・K・腎機能|CK;K（上昇しうる）;Cr（腎障害時）|Ca（初期に低下しうる）|補液;高K血症への治療薬（必要時）|筋障害>原因薬・熱・圧迫などを除く~腎保護>循環に合わせた補液~合併症>高K・腎不全・区画内圧を治療|筋痛・濃い尿がそろわない場合もある。補液は心腎機能と尿量を見て調整する。|fluid-balance,ecg|aki,electrolytes|rhabdo
12|hypopituitarism|signal|下垂体の働きが低下~標的臓器へのホルモン信号低下~複数のホルモン欠乏|だるさ・低血圧>血圧・意識・血糖~寒がり>体温・甲状腺機能~口渇・多尿>尿量・Na・浸透圧|Na（AVP欠乏合併時）|コルチゾール・FT4（欠乏軸による）;Na（副腎不全時）|ヒドロコルチゾン;レボチロキシン（欠乏に応じて）|原因>腫瘍・手術後などを評価~欠乏軸>不足するホルモンを補充~副腎不全リスク>ストレス時の補充計画を共有|副腎不全が疑われる場合、甲状腺ホルモン開始前に副腎系を評価・対応する。|fluid-balance|electrolytes|pituitary
13|infection|invasion|病原体が侵入・増殖~組織に炎症が起きる~局所症状・全身反応|局所症状>感染部位・デバイス~発熱・悪寒>体温・循環・呼吸~全身悪化>意識・尿量・敗血症徴候|CRP・WBC（上昇しうる）|WBC（重症時など）|原因に応じ抗菌薬・抗ウイルス薬など|病原体>適切な検体採取と原因治療~感染源>膿瘍・閉塞・デバイスを評価~伝播>標準予防策・必要な追加予防策|保菌と感染は同じではない。MRSAなどの菌名だけで薬を一律に決めない。|blood-culture,specimen-collection|pneumonia,uti,sepsis|infection
14|liver-disease|liver|肝細胞障害・線維化~合成低下と門脈圧上昇~黄疸・腹水・出血傾向|黄疸・倦怠感>皮膚・食事・検査推移~腹水>腹囲・体重・呼吸~意識変化・出血>便通・見当識・便色|AST・ALT（障害時）;ビリルビン;PT-INR（合成低下時）|Alb（合成低下時）|利尿薬;ラクツロース・リファキシミン（肝性脳症）|原因>肝炎・飲酒・代謝要因を治療~腹水>塩分・利尿薬・必要時排液~合併症>脳症・静脈瘤・感染を治療|肝障害・肝硬変・肝不全は同義ではない。肝性脳症でも一律の蛋白制限にしない。|fluid-balance,bowel-care|malnutrition,shock|cirrhosis
15|asthma|airway|気道の慢性炎症~刺激で気管支が狭くなる~変動する喘鳴・息苦しさ|喘鳴・咳>夜間・誘因・発作頻度~呼吸困難>会話・努力呼吸・SpO₂~夜間の症状>吸入手技・PEFの変化|好酸球（病型により）;PaCO₂（重症発作時）|PaO₂（重症発作時）|ICSを含む吸入治療;気管支拡張薬|炎症>ICSを含む長期管理~発作>処方計画に沿う発作治療~再発>誘因回避・吸入手技・行動計画|重い発作で呼吸音が弱くなる場合もある。喘鳴が小さいだけで改善と判断しない。|inhalation,oxygen-therapy|respiratory-failure,copd|asthma
16|pneumothorax|pleura|胸膜腔へ空気が入る~肺が外から縮む~換気低下・胸痛|突然の胸痛>発症・左右差~呼吸困難>呼吸音・SpO₂~循環悪化>血圧・意識・脈拍|特有の血液検査なし|PaO₂（低酸素時）|鎮痛薬（補助的）|軽症・安定>経過観察を含め適応判断~空気貯留>脱気・胸腔ドレナージ~再発・遷延>外科治療などを検討|緊張性気胸では循環も障害される。疑う不安定例は画像を待つことで処置を遅らせない。|chest-drain,oxygen-therapy|respiratory-failure,shock|pneumothorax
17|aki|filter|血流低下・腎障害・尿路閉塞~短期間で腎機能が低下~水分・K・老廃物がたまる|尿量変化>時間尿量・閉塞の有無~むくみ・息切れ>体液量・体重~だるさ・動悸>Cr推移・K・心電図|Cr;K（上昇しうる）;BUN|HCO₃⁻（アシドーシス時）|原因別治療薬;高K血症治療薬（必要時）|腎前性>循環・体液量を適正化~腎性・腎後性>原因薬・炎症・閉塞を治療~重症合併症>腎代替療法を検討|尿量が保たれるAKIもある。利尿薬は腎機能回復目的で一律には使わない。|fluid-balance,dialysis|ckd,rhabdomyolysis|aki
18|respiratory-failure|exchange|肺・呼吸筋・呼吸中枢の障害~酸素の取り込み／CO₂排出不足~低酸素・高CO₂による臓器影響|息苦しさ>呼吸数・努力・会話~酸素化低下>SpO₂と酸素条件~傾眠>血液ガス・意識|PaCO₂（換気不全時）|PaO₂;pH（急性CO₂貯留時）|原因に応じ気管支拡張薬・抗菌薬など|低酸素>目標を定め酸素投与~換気不全>適応に応じNPPV・挿管管理~原因>肺炎・心不全・薬剤などを治療|酸素化と換気は別に評価する。酸素だけでCO₂排出を補えるとは限らない。|oxygen-therapy,nppv,mechanical-ventilation|hypercapnia,pneumonia|respiratory
19|subdural-hematoma|brain-compress|硬膜の内側に血液がたまる~脳が圧迫される~意識・運動機能が変化|頭痛・傾眠>受傷歴・経時変化~歩行や麻痺の変化>左右差・生活機能~意識低下>瞳孔・意識・呼吸|特有の血液検査なし|特有の血液検査なし|抗凝固薬の拮抗薬（必要時）|小さく安定>画像と症状を追跡~圧迫・症状>血腫除去・ドレナージ~再発・出血>薬剤・凝固・転倒要因を評価|急性は急速に悪化しうる。慢性は軽い外傷後、時間をおいて症状が現れることがある。|fluid-balance|cerebral-edema|subdural
20|hypertension|pressure|血管抵抗・体液量などが増える~動脈圧が持続して高い~心臓・脳・腎臓へ負担|多くは無症状>適切な血圧測定・家庭血圧~立ちくらみ（治療時）>血圧・薬の影響~胸痛・神経症状（合併時）>急性臓器障害を評価|特有の血液検査なし|特有の血液検査なし|Ca拮抗薬;ARB・ACE阻害薬;利尿薬|生活要因>減塩・運動・体重管理~血圧>併存症に応じ降圧薬~二次性原因>腎・内分泌・薬剤を評価|血圧高値は症状とは別。急性臓器障害を伴う高血圧緊急症は通常の外来管理と区別する。|arterial-line|heart-failure,ckd|hypertension
21|hypercapnia|exchange|肺胞換気が需要に足りない~CO₂が血中に残る~呼吸性アシドーシス・意識変化|頭痛>発症・呼吸状態~眠気>意識・薬剤・血液ガス~呼吸疲労>呼吸数だけでなく深さも評価|PaCO₂;HCO₃⁻（慢性代償時）|pH（急性・非代償時）|原因に応じ気管支拡張薬など|換気不足>NPPV・挿管などを適応判断~原因>気道閉塞・薬剤・神経筋疾患を評価~酸素>必要量を調整し血液ガス再評価|SpO₂が保たれていてもCO₂は上昇しうる。酸素誘発性高CO₂は呼吸抑制だけでは説明できない。|nppv,mechanical-ventilation|copd,respiratory-failure|respiratory
22|osteomalacia|mineral|ビタミンD・リン不足など~骨の石灰化が不十分~骨痛・筋力低下・骨折|骨痛>場所・荷重時痛~筋力低下>立ち上がり・歩行~骨折>外傷の程度・画像|ALP（上昇しうる）|P・Ca・25(OH)D（原因により）|ビタミンD・Ca補充・リン製剤（原因別）|欠乏>不足成分を確認し補充~原因>吸収障害・腎性喪失などを治療~骨の保護>転倒対策・安全な活動|骨粗鬆症は骨量低下、骨軟化症は石灰化障害が中心。原因で補充内容が異なる。|bed-bath|vertebral-fracture,ckd|osteomalacia
23|tamponade|compress-heart|心膜腔の圧が上がる~心臓へ血液が入りにくい~心拍出量が減る|息切れ>呼吸・SpO₂~循環不良>血圧・脈拍・尿量~静脈うっ血>頸静脈・エコー所見|乳酸（低灌流時）|特有の血液検査なし|原因に応じた治療薬|圧迫>緊急の心膜穿刺・外科的排液~循環>処置まで厳密に監視・支持~原因>出血・炎症・腫瘍などを治療|心膜液貯留だけでタンポナーデとは限らない。量に加え、たまる速さと循環への影響が重要。|pericardial-drainage,arterial-line|shock,aortic-dissection|tamponade
24|myocardial-infarction|occlusion|冠血流が急に不足~心筋の酸素欠乏~心筋壊死・不整脈|胸部不快・冷汗>発症時刻・性状~息切れ・血圧低下>循環・酸素化~不整脈>12誘導・モニター|心筋トロポニン;CK（上昇しうる）|特有の血液検査なし|抗血小板薬;抗凝固薬;スタチン|虚血>適応と時間を評価し緊急再灌流~血栓>抗血栓療法~再発>脂質・血圧管理と心臓リハビリ|痛みが目立たない例もある。トロポニン上昇だけで心筋梗塞と断定しない。|ecg,arterial-line|heart-failure,shock|mi
25|heart-failure|pump|心臓の収縮・拡張が障害~うっ血／全身への血流不足~息切れ・浮腫・疲労|息切れ・起座呼吸>呼吸音・SpO₂~むくみ>体重・水分出納~低灌流>血圧・四肢冷感・尿量|BNP・NT-proBNP（上昇しうる）|Na（重症例など）|利尿薬;ARNI等・β遮断薬・MRA・SGLT2阻害薬（病型別）|うっ血>利尿薬などで体液を調整~心機能>EF・病型に応じ標準薬物療法~原因・増悪>虚血・不整脈・感染を治療|EFが保たれていても心不全は起こる。水分制限・酸素投与は全員一律にしない。|fluid-balance,nppv,ecg|valvular-disease,pulmonary-edema|hf
26|pyelonephritis|ascending|尿路の細菌が腎臓へ~腎盂・腎実質に炎症~発熱・側腹部痛|発熱・悪寒>体温・循環~側腹部痛>部位・程度~尿の変化>尿量・尿検査・培養|CRP・WBC（上昇しうる）|特有の血液検査なし|抗菌薬（培養・重症度で選択）|感染>適切な抗菌薬~脱水>循環に合わせ補液~尿路閉塞>閉塞を評価し必要時ドレナージ|高熱・低血圧・意識変化では敗血症を評価。BUN上昇を腎盂腎炎固有の所見にしない。|specimen-collection,blood-culture,fluid-balance|uti,sepsis|pyelo
27|nph|ventricle|髄液の循環・吸収が障害~脳室が拡大~歩行・認知・排尿の変化|歩きにくさ>小刻み・すくみ・転倒~認知変化>反応・日常生活~尿意・失禁>排尿パターン|特有の血液検査なし|特有の血液検査なし|標準治療は主に手術評価|診断>画像・歩行評価・髄液排除試験~髄液貯留>適応例でシャント手術~生活機能>転倒対策・リハビリ|代表症状は歩行障害・認知機能低下・尿失禁。頭痛や嘔吐を中心症状として扱わない。|urinary-catheter|dementia,disuse|nph
28|phlebitis|vessel-inflamed|カテーテル・薬液・血栓など~静脈壁に炎症~血管沿いの痛み・発赤|痛み>刺入部と血管走行~発赤・硬結>範囲・触れた感触~発熱・腫脹>感染・血栓の可能性|CRP・WBC（感染などで）|特有の血液検査なし|鎮痛薬;抗菌薬・抗凝固薬（適応例）|刺激>点滴中止・カテーテル抜去等を判断~炎症>原因に合う局所ケア・鎮痛~感染・血栓>必要な検査と治療|血管外漏出は別の病態。温冷罨法を一律にせず薬剤・原因に応じた手順を確認する。|peripheral-iv,infusion-management|dvt,infection|phlebitis
29|dvt|venous-clot|静脈で血栓ができる~血液の戻りが妨げられる~片脚の腫れ・肺塞栓リスク|片脚の腫れ>左右差・周径~痛み・熱感>皮膚・経時変化~胸痛・息切れ>肺塞栓の緊急評価|Dダイマー（非特異的）|特有の血液検査なし|DOAC;ヘパリン（条件に応じて）|血栓の進展>抗凝固療法~重症例>カテーテル治療などを検討~再発>活動・背景リスクの管理|Dダイマーだけでは確定できない。疑う脚を強く揉まない。VTEはDVTと肺塞栓を含む。|ecg|pulmonary-embolism,disuse|dvt
30|bph|outlet|前立腺が大きくなる~尿道の通りが悪くなる~排尿困難・残尿|尿勢低下>排尿開始・途切れ~頻尿・残尿感>排尿記録・残尿量~尿閉>下腹部膨満・尿量|Cr（閉塞性腎障害時）|特有の血液検査なし|α₁遮断薬;5α還元酵素阻害薬;PDE5阻害薬|症状>生活調整・薬物療法~尿閉>適切な導尿・排尿管理~持続する閉塞>手術療法を検討|PSAは前立腺肥大だけを示す検査ではない。膀胱機能や前立腺がんなども評価する。|urinary-catheter,straight-catheterization|uti,aki|bph
31|femoral-neck-fracture|fracture|転倒などで大腿骨頸部が折れる~支持性・血流が損なわれる~股関節痛・歩行困難|鼠径部痛>受傷機転・疼痛~動けない>脚の位置・荷重可否~全身影響>循環・せん妄・血栓リスク|特有の血液検査なし|Hb（出血があれば）|鎮痛薬;骨粗鬆症治療薬（適応例）|骨折>骨接合・人工骨頭等を適応判断~機能>鎮痛・指示された荷重でリハビリ~合併症>血栓・褥瘡・再転倒予防|転位・年齢・活動性で術式や荷重条件が違う。痛みだけで骨折を除外しない。|bed-bath|disuse,dvt|hip
32|aortic-dissection|dissection|大動脈壁の中へ血液が入る~壁が裂けて偽腔ができる~破裂・臓器血流障害|突然の胸背部痛>発症・移動・持続~血流障害>四肢脈拍・神経・尿量~循環変化>血圧・意識・心嚢液|Dダイマー（非特異的）|Hb（出血時）|β遮断薬などの降圧薬;鎮痛薬|壁への負荷>鎮痛・心拍・血圧管理~上行大動脈病変>原則として緊急外科評価~B型>合併症に応じ内科・血管内・外科治療|血圧左右差がない例もある。単なる高血圧として扱わず、解離部位と臓器虚血を評価する。|arterial-line|tamponade,shock|dissection
33|malnutrition|depletion|摂取不足・吸収低下・需要増大~体内の蓄えと筋肉が減る~筋力低下・回復遅延|体重減少>期間・摂取量~筋力低下>歩行・握力・活動~食べにくさ>嚥下・口腔・消化症状|特有の血液検査なし|Alb（炎症等の影響も受ける）|経口栄養補助;欠乏に応じビタミン等|摂取障害>食形態・口腔・食事介助~不足>必要量を評価し栄養補給~筋力低下>安全な活動・リハビリ|Alb単独では低栄養を診断できない。長期の低栄養では再栄養時の電解質変化を監視する。|enteral-nutrition,oral-care|refeeding,disuse|malnutrition
34|electrolytes|balance|摂取・排泄・体内移動が変化~Na・K・Ca・Pなどが偏る~神経・筋・心臓の機能障害|意識・けいれん>Na・変化速度~動悸・脱力>K・Mg・心電図~しびれ・筋痙攣>Ca・P・腎機能|Na・K・Ca・P（異常の種類による）|Na・K・Ca・P・Mg（異常の種類による）|K補充;Ca補充;Mg補充;高張食塩液|原因>薬剤・腎機能・水分出納を確認~緊急性>心電図・神経症状を優先評価~偏り>種類と速度に合わせ補正|K補正に食塩液を代用しない。補正薬・濃度・速度は異常の種類と腎機能で異なる。|fluid-balance,ecg,infusion-management|aki,refeeding|electrolytes
35|diabetes|glucose|インスリンの不足・効きにくさ~血中に糖が多く残る~脱水・慢性の血管障害|口渇・多尿>血糖・水分出納~体重変化>食事・活動~足のしびれ>足・眼・腎機能|血糖;HbA1c|血糖（治療による低血糖時）|インスリン;病型に応じた血糖降下薬|高血糖>病型・併存症に合う薬物療法~生活>食事・運動・自己管理支援~合併症>腎・眼・足・心血管を定期評価|1型ではインスリン補充が不可欠。冷汗や意識変化は高血糖だけでなく低血糖も確認する。|injection,fluid-balance|hhs,ckd|diabetes
36|uti|ascending|病原体が尿路で増殖~膀胱・尿道などに炎症~排尿痛・頻尿|排尿痛>部位・回数・残尿感~尿の変化>症状と尿検査を合わせる~発熱・腰痛>上部尿路感染を評価|尿中白血球;CRP（上部感染など）|特有の血液検査なし|抗菌薬（部位・培養等に応じて）|感染>適応に応じ抗菌薬~誘因>閉塞・カテーテルを評価~再発>排尿・水分管理を個別調整|尿の濁り・臭い・細菌尿だけで感染と断定しない。無症候性細菌尿は通常のUTIと区別する。|specimen-collection,urinary-catheter|pyelonephritis,bph|uti
37|dementia|network|脳の神経ネットワークが障害~記憶・判断などが持続して低下~日常生活に支障|物忘れ>生活上の具体的な困りごと~行動の変化>痛み・環境・不安~急な悪化>せん妄・感染・薬剤|特有の血液検査なし|特有の血液検査なし|ドネペジル・メマンチン等（病型・重症度別）|原因・病型>評価し適応のある治療~生活支援>環境調整・本人の習慣を尊重~合併要因>痛み・睡眠・感覚障害を整える|急な意識・注意の変化は認知症の進行と決めつけない。新規疾患修飾薬は専門的な適応評価が必要。|oral-care|nph,disuse|dementia
38|ischemic-stroke|occlusion|脳動脈が詰まる~脳組織に酸素が届かない~局所の神経機能が失われる|片麻痺・顔面左右差>発症・最終健常時刻~言葉・視覚の異常>神経所見・意識~嚥下障害>経口摂取前の評価|特有の血液検査なし|特有の血液検査なし|血栓溶解薬（適応例）;抗血小板薬・抗凝固薬（病型別）|閉塞>時間・画像・適応により血栓溶解／回収~再発>原因別の抗血栓療法~機能>嚥下・呼吸管理とリハビリ|症状だけで脳出血と区別できない。画像評価前に自己判断で抗血栓薬を使わない。|ecg,swallowing-exercises|atrial-fibrillation,cerebral-edema|stroke
39|intracerebral-hemorrhage|brain-bleed|脳内の血管が破れる~血腫が組織を壊し圧迫~麻痺・意識障害|麻痺・言語障害>左右差・発症時刻~頭痛・嘔吐>意識・瞳孔~増悪>呼吸・血圧・画像|特有の血液検査なし|特有の血液検査なし|降圧薬;抗凝固薬の拮抗薬（適応例）|出血拡大>血圧管理・凝固異常を是正~圧迫>部位・量により手術や排液~機能>全身管理・合併症予防・リハビリ|血腫部位によって症状は異なる。すべての例で頭痛や高度の血圧上昇があるわけではない。|arterial-line,swallowing-exercises|cerebral-edema,hypertension|stroke
40|cerebral-edema|brain-compress|脳組織の水分・容積が増える~限られた頭蓋内で圧が上がる~脳灌流低下・ヘルニア|意識低下>経時的な反応~瞳孔変化>左右差・対光反射~呼吸の変化>呼吸パターン・循環|特有の血液検査なし|特有の血液検査なし|浸透圧療法薬（適応例）|原因>出血・梗塞・腫瘍などを治療~脳圧>頭位・換気・浸透圧療法を適応判断~圧迫>必要時の外科的減圧・髄液排除|ステロイドは原因によって適否が異なる。脳梗塞・脳出血の浮腫に一律には使わない。|mechanical-ventilation,arterial-line|sah,subdural-hematoma|edema
41|disuse|depletion|臥床・不活動が続く~筋力・持久力・可動域が低下~さらに動きにくくなる|筋力低下>起居・歩行・握力~立ちくらみ>起立時血圧・転倒~生活機能低下>食事・排泄・意欲|特有の血液検査なし|特有の血液検査なし|病態そのものへの特効薬なし|不活動>状態に合わせ早期離床~筋力低下>運動・栄養を組み合わせる~二次障害>拘縮・褥瘡・血栓を予防|一律の筋力低下率で予測しない。循環や疼痛を確認し、無理のない活動計画を立てる。|bed-bath,swallowing-exercises|malnutrition,dvt,pressure-injury|disuse
42|sepsis|perfusion|感染に対する反応が乱れる~循環・細胞機能が障害~生命を脅かす臓器障害|意識変化>普段との差~呼吸・循環の悪化>呼吸数・血圧・乳酸~腎機能低下>尿量・Cr|乳酸（上昇しうる）;CRP|血小板（低下しうる）;WBC（重症例）|抗菌薬;ノルアドレナリン（ショック時）|感染>迅速な抗菌薬・感染源制御~循環>反応を見た補液・必要時昇圧薬~臓器>呼吸・腎などを支持|qSOFAのみで診断・除外しない。スコアが低くても悪化する患者を見逃さない。|blood-culture,arterial-line,fluid-balance|shock,infection|sepsis
43|pneumonia|alveolar-fill|肺に感染などが起きる~肺胞に炎症性の液がたまる~ガス交換低下・発熱|咳・痰>量・色・排痰~発熱・倦怠感>体温・摂取量~息切れ>呼吸数・SpO₂・意識|CRP・WBC（上昇しうる）|PaO₂（低酸素時）|抗菌薬（細菌性）;原因に応じた治療薬|原因>感染の種類・重症度に応じ治療~呼吸>適応に応じ酸素・排痰支援~回復>栄養・水分・誤嚥要因を評価|抗真菌薬は一般的な肺炎全例に使う薬ではない。高齢者などでは発熱が目立たない場合もある。|oxygen-therapy,suction,blood-culture|respiratory-failure,sepsis|pneumonia
44|emphysema|alveoli|肺胞壁が壊れる~弾性とガス交換面積が減る~空気が残る・息切れ|労作時息切れ>活動時の呼吸~体重減少>食事量・筋力~増悪>咳・痰・普段との差|PaCO₂（換気不全時）|PaO₂（進行例）|吸入気管支拡張薬（COPDを伴う場合）|曝露>禁煙・刺激物回避~機能低下>呼吸リハビリ・吸入治療~高度な障害>酸素療法・肺容量減量等を適応評価|肺気腫は形態的な変化を指す。肺気腫の画像所見とCOPDの診断を同一視しない。|inhalation,oxygen-therapy|copd,pneumothorax|copd
45|pulmonary-embolism|occlusion|静脈の血栓が肺動脈へ~肺血流が遮られ右心に負担~息切れ・低酸素・ショック|急な息切れ>呼吸数・SpO₂~胸痛・失神>血圧・意識~脚の腫れ>DVT徴候・リスク|Dダイマー（非特異的）;トロポニン（右心負荷時）|PaO₂（低酸素時）|抗凝固薬;血栓溶解薬（適応例）|血栓進展>抗凝固療法~循環不安定>再灌流治療を緊急検討~原因>DVT・再発リスクを評価|Dダイマーだけで確定しない。血圧低下や失神を伴う場合は緊急性が高い。|oxygen-therapy,arterial-line|dvt,shock|pe
46|pulmonary-hypertension|pressure|肺血管・左心・肺などの病気~肺循環の圧が上がる~右心負荷・息切れ|労作時息切れ>活動耐容能・酸素化~失神・胸痛>循環・誘因~浮腫>体重・右心不全徴候|BNP・NT-proBNP（右心負荷時）|PaO₂（原因・重症度による）|肺血管拡張薬（PAH等の適応例）;利尿薬|病型>原因群を専門的に分類~原因治療>左心・肺・血栓などへ対応~右心負荷>適応に合う薬・体液管理|肺動脈性肺高血圧症と肺高血圧症全体は同じではない。専用薬を全群に使わない。|oxygen-therapy,fluid-balance|heart-failure,pulmonary-embolism|ph
47|pulmonary-edema|alveolar-fill|肺毛細血管圧上昇／透過性亢進~肺間質・肺胞へ水が移る~酸素を取り込みにくい|急な息苦しさ>体位・呼吸数・SpO₂~湿性ラ音・痰>呼吸音・性状~循環の変化>血圧・尿量・体重|BNP（心原性で上昇しうる）|PaO₂|利尿薬・血管拡張薬（心原性などの適応例）|酸素化>酸素・適応に応じ陽圧換気~心原性>血圧・うっ血に応じ治療~非心原性>感染・炎症など原疾患を治療|心原性と非心原性で治療が異なる。泡沫状痰がないからといって除外できない。|oxygen-therapy,nppv,fluid-balance|heart-failure,respiratory-failure|pulmonary-edema
